year,sat,ref2
2000.0,L7,309.4822896505356
2001.0,L7,309.8089624513022
2002.0,L7,309.46312519286676
2003.0,L7,302.9849380808873
2004.0,L7,308.6515111237832
2005.0,L7,306.9110957808499
2006.0,L7,306.78071828427596
2007.0,L7,307.749334058298
2008.0,L7,306.90389601994553
2009.0,L7,306.66286082635077
2010.0,L7,307.5343716008492
2011.0,L7,307.6178564735923
2012.0,L7,309.0363420856187
2013.0,L7,308.2501250552447
2014.0,L7,307.8273471720409
2015.0,L7,308.08281093745103
2016.0,L7,308.61564849438025
2017.0,L7,310.5962183984033
2018.0,L7,308.80050811140427
2019.0,L7,305.4689050323911
2020.0,L7,307.94333483340523
2021.0,L7,305.8002379177004
2022.0,L7,298.6152654829019
2023.0,L7,301.20543144571525
2014.0,L8,307.8382568369105
2015.0,L8,308.24679543074336
2016.0,L8,309.32067611608295
2017.0,L8,311.9095365561128
2018.0,L8,308.5586181719025
2019.0,L8,308.99293599311534
2020.0,L8,311.0745314599395
2021.0,L8,309.25551388159766
2022.0,L8,310.4856867564114
2023.0,L8,310.5119779446085
2024.0,L8,311.87828462459737
2025.0,L8,310.3004693781755
