lst,ndvi,ndbi,year,sat,zone,site,trat
289.52478828362,0.12292860691118274,-0.015930689101571104,2020,L8,sitio,cyrusone,dc
290.99305962557764,0.1198348731725367,-0.017756662252289022,2020,L8,sitio,cyrusone,dc
293.0958277450962,0.09784259766044918,-0.0018651915841259106,2020,L8,sitio,cyrusone,dc
319.39232928796605,0.09689506498647206,0.0033777214551607517,2020,L8,sitio,cyrusone,dc
317.4119938887394,0.10218746361440598,0.005158246447659796,2020,L8,sitio,cyrusone,dc
325.5688609278273,0.1013419944730559,0.0047536318357411554,2020,L8,sitio,cyrusone,dc
324.48707262516933,0.09606112821117048,0.0062812863736927465,2020,L8,sitio,cyrusone,dc
317.94910868533503,0.10068824622294219,0.0035462653964257827,2020,L8,sitio,cyrusone,dc
324.6517276020023,0.10345895507660474,0.002122365589066764,2020,L8,sitio,cyrusone,dc
322.19578780372126,0.10942936617282889,5.739807293192796E-4,2020,L8,sitio,cyrusone,dc
326.0510303475696,0.10776136429507507,0.0013338924710714572,2020,L8,sitio,cyrusone,dc
315.76736788180557,0.11288785030244192,0.0024678959661751936,2020,L8,sitio,cyrusone,dc
320.0296496911733,0.12654433180512456,0.01273853969998265,2020,L8,sitio,cyrusone,dc
315.2319911199352,0.10551862889061943,0.008012172313077421,2020,L8,sitio,cyrusone,dc
310.47420341558745,0.10832553465066004,0.003937042776169395,2020,L8,sitio,cyrusone,dc
288.2961910476743,0.12286057555608661,-0.0673975357312051,2020,L8,sitio,cyrusone,dc
293.6817194134557,0.11626759147287069,0.0013762463031013997,2020,L8,sitio,cyrusone,dc
290.0132308338845,0.10909897435421044,-0.0034717126086835828,2020,L8,sitio,cyrusone,dc
289.7802411335728,0.10959573858299962,-0.0033295085468656085,2021,L8,sitio,cyrusone,dc
286.74941152148887,0.11287605045548899,-0.03357548864631041,2021,L8,sitio,cyrusone,dc
297.74918826428075,0.09966058970872495,0.001155680830590381,2021,L8,sitio,cyrusone,dc
294.33523632514465,0.1012617309627567,-4.639711288420044E-4,2021,L8,sitio,cyrusone,dc
305.51441094423853,0.10186900047866596,-0.00519351632648111,2021,L8,sitio,cyrusone,dc
311.4551090144129,0.10074090423895356,0.0025450987871613946,2021,L8,sitio,cyrusone,dc
318.9096799106569,0.09763784482079216,0.005381106545982287,2021,L8,sitio,cyrusone,dc
318.5157142597496,0.09743461053138126,0.0071418136522019065,2021,L8,sitio,cyrusone,dc
323.4572908039444,0.09972126301743907,0.0048307072574464505,2021,L8,sitio,cyrusone,dc
329.59607910191085,0.12223096241411988,0.012282318683336289,2021,L8,sitio,cyrusone,dc
325.3479162137312,0.11268971940730513,0.0018859329451226905,2021,L8,sitio,cyrusone,dc
315.35743710749017,0.12332882665453769,-0.006653550145339785,2021,L8,sitio,cyrusone,dc
319.7018325048514,0.10975641975376929,-5.428991413078034E-4,2021,L8,sitio,cyrusone,dc
316.6303971819112,0.09997591850456275,0.0015114315385860663,2021,L8,sitio,cyrusone,dc
